Treat,Soil,Plant,Type,Date,stemwater
CONTROL,B,156,Root,180524,0.560295776
CONTROL,B,156,Stem,180524,0.548389701
DRY,B,160,Stem,180524,0.478918205
DRY,B,160,Stem,180524,0.474296414
CONTROL,B,161,Root,180524,0.65897541
DRY,C,163,Root,180524,0.554021172
DRY,C,163,Stem,180524,0.490330379
DRY,C,165,Root,180524,0.761701785
DRY,C,165,Stem,180524,0.359801566
DRY,C,170,Root,180524,0.540694849
DRY,C,170,Stem,180524,0.436830517
DRY,C,176,Root,180524,0.558787357
DRY,C,176,Stem,180524,0.461743541
CONTROL,C,181,Root,180524,0.523397181
CONTROL,C,190,Root,180524,0.595921863
CONTROL,C,190,Stem,180524,0.506546502
CONTROL,C,191,Stem,180524,0.495236817
DRY,C,209,Root,180524,0.598058252
DRY,C,209,Stem,180524,0.456121139
CONTROL,C,214,Root,180524,0.63535749
CONTROL,C,214,Stem,180524,0.524833703
DRY,A,10,Root,180531,0.529449173
DRY,A,10,Stem,180531,0.453177134
DRY,A,16,Root,180531,0.567914467
DRY,A,16,Stem,180531,1.133247205
DRY,A,23,Root,180531,0.479642294
DRY,A,27,Stem,180531,0.422662178
DRY,A,27,Root,180531,0.588898526
DRY,A,36,Root,180531,0.55968794
DRY,A,36,Stem,180531,0.484687997
DRY,B,103,Root,180531,0.512910119
DRY,B,103,Stem,180531,0.464844854
DRY,B,106,Root,180531,0.593693963
DRY,B,106,Stem,180531,0.500815703
DRY,B,134,Root,180531,0.572948702
DRY,B,153,Root,180531,0.645718674
DRY,B,153,Stem,180531,0.53553719
DRY,B,158,Root,180531,0.579361835
DRY,B,158,Stem,180531,0.477529921
DRY,C,186,Root,180531,0.598796268
DRY,C,186,Stem,180531,0.493744984
DRY,C,210,Root,180531,0.481513868
DRY,C,210,Stem,180531,0.439874395
DRY,C,213,Stem,180531,0.455713933
DRY,C,219,Root,180531,0.568000942
DRY,C,219,Stem,180531,0.497564913
DRY,A,1,Root,180613,0.598841977
DRY,A,1,Stem,180613,0.473283916
DRY,A,14,Stem,180613,0.44980488
DRY,A,20,Root,180613,0.62149579
DRY,A,20,Stem,180613,0.471774954
CONTROL,A,26,Root,180613,0.540643502
CONTROL,A,26,Stem,180613,0.460090029
CONTROL,A,32,Root,180613,0.479816876
CONTROL,A,32,Stem,180613,0.43210096
DRY,A,44,Root,180613,0.500366799
DRY,A,44,Stem,180613,0.454307568
DRY,A,45,Root,180613,0.525311251
DRY,A,45,Stem,180613,0.465738669
CONTROL,A,80,Stem,180613,0.473042856
CONTROL,A,86,Root,180613,0.51001001
CONTROL,A,86,Stem,180613,0.467936052
CONTROL,B,110,Stem,180613,0.508300395
DRY,B,111,Root,180613,0.536844174
DRY,B,111,Stem,180613,0.448888674
DRY,B,129,Root,180613,0.658270106
DRY,B,129,Stem,180613,0.484030589
DRY,B,132,Root,180613,0.534136638
DRY,B,132,Stem,180613,0.461701951
CONTROL,B,133,Root,180613,0.609618619
CONTROL,B,133,Stem,180613,0.506352001
DRY,B,135,Root,180613,0.583319697
DRY,B,135,Stem,180613,0.442703833
CONTROL,B,137,Stem,180613,0.469674366
CONTROL,B,141,Root,180613,0.545715548
CONTROL,B,141,Stem,180613,0.468585902
DRY,B,144,Root,180613,0.508791546
DRY,B,144,Stem,180613,0.432588771
DRY,A,146,Root,180613,0.498483091
DRY,C,164,Root,180613,0.56176423
DRY,C,164,Stem,180613,0.538113876
DRY,C,167,Root,180613,0.509494602
DRY,C,167,Stem,180613,0.477340869
DRY,C,168,Root,180613,0.450324195
DRY,A,168,Stem,180613,0.404918071
CONTROL,C,169,Root,180613,0.54713004
CONTROL,C,169,Stem,180613,0.455359769
CONTROL,C,177,Root,180613,0.569770774
CONTROL,C,177,Stem,180613,0.496920442
DRY,C,182,Root,180613,0.50626224
DRY,C,182,Stem,180613,0.509387419
DRY,C,206,Stem,180613,0.551962429
DRY,C,206,Stem,180613,0.452541998
CONTROL,C,218,Root,180613,0.495274376
CONTROL,C,218,Stem,180613,0.440698136
CONTROL,C,220,Root,180613,0.470032078
CONTROL,C,220,Stem,180613,0.43648415
CONTROL,A,7,Root,180620,0.48892371
CONTROL,A,7,Stem,180620,0.443141197
DRY,A,9,Root,180620,0.479483091
DRY,A,9,Stem,180620,0.416394708
DRY,A,12,Root,180620,0.580923001
DRY,A,12,Stem,180620,0.442325438
DRY,A,15,Root,180620,0.415254237
DRY,A,15,Stem,180620,0.455900566
DRY,A,21,Root,180620,0.526691867
DRY,A,21,Stem,180620,0.504087408
CONTROL,A,47,Root,180620,0.459380772
CONTROL,A,47,Stem,180620,0.417522795
CONTROL,A,81,Root,180620,0.510342418
CONTROL,A,81,Stem,180620,0.484667999
DRY,A,89,Root,180620,0.44028082
DRY,A,89,Stem,180620,0.431370444
CONTROL,A,91,Root,180620,0.486917592
CONTROL,A,91,Stem,180620,0.479355079
CONTROL,B,102,Root,180620,0.521823235
CONTROL,B,102,Stem,180620,0.454401366
DRY,B,109,Root,180620,0.602497319
DRY,B,109,Stem,180620,0.439598818
DRY,B,112,Root,180620,0.467860881
CONTROL,B,112,Stem,180620,0.390724604
CONTROL,B,114,Root,180620,0.485243265
DRY,B,115,Root,180620,0.553188111
DRY,B,115,Stem,180620,0.46141492
CONTROL,B,116,Root,180620,0.481939184
CONTROL,B,116,Stem,180620,0.476228794
DRY,B,123,Root,180620,0.519545455
DRY,B,123,Stem,180620,0.436186262
DRY,B,143,Root,180620,0.502054159
DRY,C,143,Stem,180620,0.435352315
CONTROL,B,144,Stem,180620,0.420967376
DRY,B,150,Root,180620,0.521455347
DRY,B,150,Stem,180620,0.455179342
CONTROL,C,162,Root,180620,0.513062606
CONTROL,C,162,Stem,180620,0.424268752
DRY,C,188,Root,180620,0.563816646
DRY,C,188,Stem,180620,0.419500859
DRY,C,189,Root,180620,0.566278481
DRY,C,189,Stem,180620,0.460167835
CONTROL,C,195,Root,180620,0.518046848
CONTROL,C,195,Stem,180620,0.438475483
CONTROL,C,200,Root,180620,0.502388769
CONTROL,C,200,Stem,180620,0.472675576
CONTROL,C,203,Root,180620,0.478793842
CONTROL,C,203,Stem,180620,0.424235865
CONTROL,C,208,Root,180620,0.533739961
DRY,C,208,Stem,180620,0.421405958
DRY,C,212,Root,180620,0.57188599
DRY,C,212,Stem,180620,0.51091876
DRY,C,216,Root,180620,0.467754996
DRY,C,216,Stem,180620,0.442757195
